발표일,시간,실제,예측,이전
2010년 01월 05일,0:00,55.9,54,53.6
2010년 02월 02일,0:00,58.4,55.2,54.9
2010년 03월 02일,0:00,56.5,58,58.4
2010년 04월 01일,23:00,59.6,57,56.5
2010년 05월 03일,23:00,60.4,60,59.6
2010년 06월 01일,23:00,59.7,58.9,60.4
2010년 07월 01일,23:00,56.2,59,59.7
2010년 08월 02일,23:00,55.5,54.2,56.2
2010년 09월 01일,23:00,56.3,53,55.5
2010년 10월 01일,23:00,54.4,54.5,56.3
2010년 11월 01일,23:00,56.9,53.6,54.4
2010년 12월 02일,0:00,56.6,56.4,56.9
2011년 01월 04일,0:00,57,57.3,56.6
2011년 02월 02일,0:00,60.8,58.2,58.5
2011년 03월 02일,0:00,61.4,60.9,60.8
2011년 04월 01일,23:00,61.2,61,61.4
2011년 05월 02일,23:00,60.4,59.7,61.2
2011년 06월 01일,23:00,53.5,57.5,60.4
2011년 07월 01일,23:00,55.3,51.5,53.5
2011년 08월 01일,23:00,50.9,54.8,55.3
2011년 09월 01일,23:00,50.6,48.5,50.9
2011년 10월 03일,23:00,51.6,50.5,50.6
2011년 11월 01일,23:00,50.8,52.1,51.6
2011년 12월 02일,0:00,52.7,51.5,50.8
2012년 01월 04일,0:00,53.9,53.2,52.7
2012년 02월 02일,0:00,54.1,54.5,53.9
2012년 03월 02일,0:00,52.4,54.6,54.1
2012년 04월 02일,23:00,53.4,53,52.4
2012년 05월 01일,23:00,54.8,53,53.4
2012년 06월 01일,23:00,53.5,53.9,54.8
2012년 07월 02일,23:00,49.7,52,53.5
2012년 08월 01일,23:00,49.8,50.2,49.7
2012년 09월 04일,23:00,49.6,50,49.8
2012년 10월 01일,23:00,51.5,49.7,49.6
2012년 11월 01일,23:00,51.7,51.2,51.5
2012년 12월 04일,0:00,49.5,51.3,51.7
2013년 01월 03일,0:00,50.7,50.3,49.5
2013년 02월 02일,0:00,53.1,50.6,50.2
2013년 03월 02일,0:00,54.2,52.5,53.1
2013년 04월 01일,23:00,51.3,54.2,54.2
2013년 05월 01일,23:00,50.7,50.9,51.3
2013년 06월 03일,23:00,49,50.7,50.7
2013년 07월 01일,23:00,50.9,50.5,49
2013년 08월 01일,23:00,55.4,52,50.9
2013년 09월 03일,23:00,55.7,54,55.4
2013년 10월 01일,23:00,56.2,55,55.7
2013년 11월 01일,23:00,56.4,55,56.2
2013년 12월 03일,0:00,57.3,55,56.4
2014년 01월 03일,0:00,57,57,57.3
2014년 02월 04일,0:00,51.3,56.4,57
2014년 03월 04일,0:00,53.2,52,51.3
2014년 04월 01일,23:00,53.7,54,53.2
2014년 05월 01일,23:00,54.9,54.3,53.7
2014년 06월 02일,23:00,55.4,55.5,54.9
2014년 07월 01일,23:00,55.3,55.8,55.4
2014년 08월 01일,23:00,57.1,56,55.3
2014년 09월 02일,23:00,59,56.8,57.1
2014년 10월 01일 (9월),23:00,56.6,58.5,59
2014년 11월 04일 (10월),0:00,59,56.2,56.6
2014년 12월 02일 (11월),0:00,58.7,57.9,59
2015년 01월 03일 (12월),0:00,55.5,57.6,58.7
2015년 02월 03일 (1월),0:00,53.5,54.5,55.5
2015년 03월 03일 (2월),0:00,52.9,53,53.5
2015년 04월 01일 (3월),23:00,51.5,52.5,52.9
2015년 05월 01일 (4월),23:00,51.5,52,51.5
2015년 06월 01일 (5월),23:00,52.8,52,51.5
2015년 07월 01일 (6월),23:00,53.5,53.1,52.8
2015년 08월 03일 (7월),22:25,52.7,53.5,53.5
2015년 09월 01일 (8월),23:00,51.1,52.6,52.7
2015년 10월 01일 (9월),23:00,50.2,50.6,51.1
2015년 11월 03일 (10월),0:00,50.1,50,50.2
2015년 12월 02일 (11월),0:00,48.6,50.5,50.1
2016년 01월 05일 (12월),0:00,48.2,49,48.6
2016년 02월 02일 (1월),0:00,48.2,48.1,48
2016년 03월 02일 (2월),0:00,49.5,48.5,48.2
