,realtime_start,realtime_end,date,value
0,2025-08-18,2025-08-18,2000-01-01,6.66
1,2025-08-18,2025-08-18,2000-02-01,6.52
2,2025-08-18,2025-08-18,2000-03-01,6.26
3,2025-08-18,2025-08-18,2000-04-01,5.99
4,2025-08-18,2025-08-18,2000-05-01,6.44
5,2025-08-18,2025-08-18,2000-06-01,6.1
6,2025-08-18,2025-08-18,2000-07-01,6.05
7,2025-08-18,2025-08-18,2000-08-01,5.83
8,2025-08-18,2025-08-18,2000-09-01,5.8
9,2025-08-18,2025-08-18,2000-10-01,5.74
10,2025-08-18,2025-08-18,2000-11-01,5.72
11,2025-08-18,2025-08-18,2000-12-01,5.24
12,2025-08-18,2025-08-18,2001-01-01,5.16
13,2025-08-18,2025-08-18,2001-02-01,5.1
14,2025-08-18,2025-08-18,2001-03-01,4.89
15,2025-08-18,2025-08-18,2001-04-01,5.14
16,2025-08-18,2025-08-18,2001-05-01,5.39
17,2025-08-18,2025-08-18,2001-06-01,5.28
18,2025-08-18,2025-08-18,2001-07-01,5.24
19,2025-08-18,2025-08-18,2001-08-01,4.97
20,2025-08-18,2025-08-18,2001-09-01,4.73
21,2025-08-18,2025-08-18,2001-10-01,4.57
22,2025-08-18,2025-08-18,2001-11-01,4.65
23,2025-08-18,2025-08-18,2001-12-01,5.09
24,2025-08-18,2025-08-18,2002-01-01,5.04
25,2025-08-18,2025-08-18,2002-02-01,4.91
26,2025-08-18,2025-08-18,2002-03-01,5.28
27,2025-08-18,2025-08-18,2002-04-01,5.21
28,2025-08-18,2025-08-18,2002-05-01,5.16
29,2025-08-18,2025-08-18,2002-06-01,4.93
30,2025-08-18,2025-08-18,2002-07-01,4.65
31,2025-08-18,2025-08-18,2002-08-01,4.26
32,2025-08-18,2025-08-18,2002-09-01,3.87
33,2025-08-18,2025-08-18,2002-10-01,3.94
34,2025-08-18,2025-08-18,2002-11-01,4.05
35,2025-08-18,2025-08-18,2002-12-01,4.03
36,2025-08-18,2025-08-18,2003-01-01,4.05
37,2025-08-18,2025-08-18,2003-02-01,3.9
38,2025-08-18,2025-08-18,2003-03-01,3.81
39,2025-08-18,2025-08-18,2003-04-01,3.96
40,2025-08-18,2025-08-18,2003-05-01,3.57
41,2025-08-18,2025-08-18,2003-06-01,3.33
42,2025-08-18,2025-08-18,2003-07-01,3.98
43,2025-08-18,2025-08-18,2003-08-01,4.45
44,2025-08-18,2025-08-18,2003-09-01,4.27
45,2025-08-18,2025-08-18,2003-10-01,4.29
46,2025-08-18,2025-08-18,2003-11-01,4.3
47,2025-08-18,2025-08-18,2003-12-01,4.27
48,2025-08-18,2025-08-18,2004-01-01,4.15
49,2025-08-18,2025-08-18,2004-02-01,4.08
50,2025-08-18,2025-08-18,2004-03-01,3.83
51,2025-08-18,2025-08-18,2004-04-01,4.35
52,2025-08-18,2025-08-18,2004-05-01,4.72
53,2025-08-18,2025-08-18,2004-06-01,4.73
54,2025-08-18,2025-08-18,2004-07-01,4.5
55,2025-08-18,2025-08-18,2004-08-01,4.28
56,2025-08-18,2025-08-18,2004-09-01,4.13
57,2025-08-18,2025-08-18,2004-10-01,4.1
58,2025-08-18,2025-08-18,2004-11-01,4.19
59,2025-08-18,2025-08-18,2004-12-01,4.23
60,2025-08-18,2025-08-18,2005-01-01,4.22
61,2025-08-18,2025-08-18,2005-02-01,4.17
62,2025-08-18,2025-08-18,2005-03-01,4.5
63,2025-08-18,2025-08-18,2005-04-01,4.34
64,2025-08-18,2025-08-18,2005-05-01,4.14
65,2025-08-18,2025-08-18,2005-06-01,4.0
66,2025-08-18,2025-08-18,2005-07-01,4.18
67,2025-08-18,2025-08-18,2005-08-01,4.26
68,2025-08-18,2025-08-18,2005-09-01,4.2
69,2025-08-18,2025-08-18,2005-10-01,4.46
70,2025-08-18,2025-08-18,2005-11-01,4.54
71,2025-08-18,2025-08-18,2005-12-01,4.47
72,2025-08-18,2025-08-18,2006-01-01,4.42
73,2025-08-18,2025-08-18,2006-02-01,4.57
74,2025-08-18,2025-08-18,2006-03-01,4.72
75,2025-08-18,2025-08-18,2006-04-01,4.99
76,2025-08-18,2025-08-18,2006-05-01,5.11
77,2025-08-18,2025-08-18,2006-06-01,5.11
78,2025-08-18,2025-08-18,2006-07-01,5.09
79,2025-08-18,2025-08-18,2006-08-01,4.88
80,2025-08-18,2025-08-18,2006-09-01,4.72
81,2025-08-18,2025-08-18,2006-10-01,4.73
82,2025-08-18,2025-08-18,2006-11-01,4.6
83,2025-08-18,2025-08-18,2006-12-01,4.56
84,2025-08-18,2025-08-18,2007-01-01,4.76
85,2025-08-18,2025-08-18,2007-02-01,4.72
86,2025-08-18,2025-08-18,2007-03-01,4.56
87,2025-08-18,2025-08-18,2007-04-01,4.69
88,2025-08-18,2025-08-18,2007-05-01,4.75
89,2025-08-18,2025-08-18,2007-06-01,5.1
90,2025-08-18,2025-08-18,2007-07-01,5.0
91,2025-08-18,2025-08-18,2007-08-01,4.67
92,2025-08-18,2025-08-18,2007-09-01,4.52
93,2025-08-18,2025-08-18,2007-10-01,4.53
94,2025-08-18,2025-08-18,2007-11-01,4.15
95,2025-08-18,2025-08-18,2007-12-01,4.1
96,2025-08-18,2025-08-18,2008-01-01,3.74
97,2025-08-18,2025-08-18,2008-02-01,3.74
98,2025-08-18,2025-08-18,2008-03-01,3.51
99,2025-08-18,2025-08-18,2008-04-01,3.68
100,2025-08-18,2025-08-18,2008-05-01,3.88
101,2025-08-18,2025-08-18,2008-06-01,4.1
102,2025-08-18,2025-08-18,2008-07-01,4.01
103,2025-08-18,2025-08-18,2008-08-01,3.89
104,2025-08-18,2025-08-18,2008-09-01,3.69
105,2025-08-18,2025-08-18,2008-10-01,3.81
106,2025-08-18,2025-08-18,2008-11-01,3.53
107,2025-08-18,2025-08-18,2008-12-01,2.42
108,2025-08-18,2025-08-18,2009-01-01,2.52
109,2025-08-18,2025-08-18,2009-02-01,2.87
110,2025-08-18,2025-08-18,2009-03-01,2.82
111,2025-08-18,2025-08-18,2009-04-01,2.93
112,2025-08-18,2025-08-18,2009-05-01,3.29
113,2025-08-18,2025-08-18,2009-06-01,3.72
114,2025-08-18,2025-08-18,2009-07-01,3.56
115,2025-08-18,2025-08-18,2009-08-01,3.59
116,2025-08-18,2025-08-18,2009-09-01,3.4
117,2025-08-18,2025-08-18,2009-10-01,3.39
118,2025-08-18,2025-08-18,2009-11-01,3.4
119,2025-08-18,2025-08-18,2009-12-01,3.59
120,2025-08-18,2025-08-18,2010-01-01,3.73
121,2025-08-18,2025-08-18,2010-02-01,3.69
122,2025-08-18,2025-08-18,2010-03-01,3.73
123,2025-08-18,2025-08-18,2010-04-01,3.85
124,2025-08-18,2025-08-18,2010-05-01,3.42
125,2025-08-18,2025-08-18,2010-06-01,3.2
126,2025-08-18,2025-08-18,2010-07-01,3.01
127,2025-08-18,2025-08-18,2010-08-01,2.7
128,2025-08-18,2025-08-18,2010-09-01,2.65
129,2025-08-18,2025-08-18,2010-10-01,2.54
130,2025-08-18,2025-08-18,2010-11-01,2.76
131,2025-08-18,2025-08-18,2010-12-01,3.29
132,2025-08-18,2025-08-18,2011-01-01,3.39
133,2025-08-18,2025-08-18,2011-02-01,3.58
134,2025-08-18,2025-08-18,2011-03-01,3.41
135,2025-08-18,2025-08-18,2011-04-01,3.46
136,2025-08-18,2025-08-18,2011-05-01,3.17
137,2025-08-18,2025-08-18,2011-06-01,3.0
138,2025-08-18,2025-08-18,2011-07-01,3.0
139,2025-08-18,2025-08-18,2011-08-01,2.3
140,2025-08-18,2025-08-18,2011-09-01,1.98
141,2025-08-18,2025-08-18,2011-10-01,2.15
142,2025-08-18,2025-08-18,2011-11-01,2.01
143,2025-08-18,2025-08-18,2011-12-01,1.98
144,2025-08-18,2025-08-18,2012-01-01,1.97
