Month/Year,Debit Balances in Customers' Securities Margin Accounts,Free Credit Balances in Customers' Cash Accounts,Free Credit Balances in Customers' Securities Margin Accounts
17-Jan,"553,557","186,301","186,029"
16-Dec,"529,372","188,062","189,979"
16-Nov,"539,972","179,598","187,085"
16-Oct,"523,760","182,051","182,986"
16-Sep,"540,615","184,757","182,833"
16-Aug,"510,157","177,764","185,695"
16-Jul,"513,221","183,435","188,155"
16-Jun,"487,636","186,233","189,585"
16-May,"489,867","177,161","187,495"
16-Apr,"495,178","176,016","187,000"
16-Mar,"483,909","182,673","172,525"
16-Feb,"474,156","178,989","168,308"
16-Jan,"487,200","180,616","162,825"
15-Dec,"503,444","181,812","159,677"
15-Nov,"515,410","174,607","165,584"
15-Oct,"513,941","174,437","163,210"
15-Sep,"497,279","173,760","167,132"
15-Aug,"515,960","175,647","168,692"
15-Jul,"530,744","168,659","169,132"
15-Jun,"547,957","170,614","168,441"
15-May,"541,671","166,334","169,076"
15-Apr,"549,964","168,430","167,073"
15-Mar,"518,055","171,625","170,074"
15-Feb,"504,923","168,371","170,930"
15-Jan,"485,872","163,599","178,259"
14-Dec,"495,756","169,295","181,223"
14-Nov,"496,341","158,420","184,227"
14-Oct,"492,888","158,624","185,193"
14-Sep,"503,901","161,621","183,243"
14-Aug,"501,000","155,245","180,820"
14-Jul,"498,671","155,931","177,981"
14-Jun,"502,270","160,293","184,723"
14-May,"475,362","150,474","188,551"
14-Apr,"475,195","149,801","194,679"
14-Mar,"487,932","156,083","194,461"
14-Feb,"502,093","154,049","190,312"
14-Jan,"487,549","151,878","195,863"
13-Dec,"478,502","157,000","197,521"
13-Nov,"456,378","150,214","199,153"
13-Oct,"445,022","151,494","199,889"
13-Sep,"432,852","149,895","197,780"
13-Aug,"414,442","143,808","195,181"
13-Jul,"412,101","144,495","194,790"
13-Jun,"407,681","150,093","200,308"
13-May,"401,606","146,765","199,756"
13-Apr,"408,677","140,706","191,719"
13-Mar,"403,933","144,530","197,887"
13-Feb,"390,351","142,123","208,682"
13-Jan,"388,123","142,856","199,709"
12-Dec,"355,009","162,206","211,576"
12-Nov,"351,441","135,650","202,425"
12-Oct,"342,325","124,800","200,406"
12-Sep,"339,159","129,389","205,176"
12-Aug,"320,395","124,276","196,786"
12-Jul,"313,525","124,330","194,741"
12-Jun,"320,952","138,937","192,149"
12-May,"315,147","139,111","187,938"
12-Apr,"335,154","138,909","182,021"
12-Mar,"330,815","142,297","182,814"
12-Feb,"323,021","139,609","177,639"
12-Jan,"309,844","137,309","174,889"
11-Dec,"301,616","142,533","189,143"
11-Nov,"303,930","132,934","188,259"
11-Oct,"317,028","133,639","188,141"
11-Sep,"298,277","141,806","204,307"
11-Aug,"308,866","135,508","193,533"
11-Jul,"344,572","138,316","182,957"
11-Jun,"345,273","139,575","183,547"
11-May,"355,736","133,727","175,508"
11-Apr,"360,883","133,131","175,399"
11-Mar,"355,413","133,386","170,139"
11-Feb,"348,979","135,760","179,102"
11-Jan,"326,868","130,894","173,545"
10-Dec,"313,678","126,098","182,426"
10-Nov,"309,340","119,305","176,805"
10-Oct,"303,428","114,784","176,588"
10-Sep,"288,540","114,321","173,544"
10-Aug,"268,371","106,870","174,209"
10-Jul,"267,468","106,290","172,179"
10-Jun,"263,202","114,265","172,908"
10-May,"268,566","114,051","166,706"
10-Apr,"295,550","111,217","160,630"
10-Mar,"277,798","108,908","162,169"
10-Feb,"263,657","106,131","164,624"
10-Jan,"266,455","281,035",
09-Dec,"262,399","281,043",
09-Nov,"250,988","284,071",
09-Oct,"265,404","299,858",
09-Sep,"254,107","287,196",
09-Aug,"236,251","281,989",
09-Jul,"228,734","277,082",
09-Jun,"217,140","283,874",
09-May,"214,401","275,313",
09-Apr,"208,010","285,658",
09-Mar,"203,967","291,927",
09-Feb,"199,655","310,503",
09-Jan,"205,007","316,763",
08-Dec,"210,185","345,713",
08-Nov,"227,334","364,232",
08-Oct,"277,568","383,429",
08-Sep,"345,745","381,702",
08-Aug,"324,814","530,042",
08-Jul,"343,297","519,226",
08-Jun,"346,892","499,634",
08-May,"341,610","470,188",
08-Apr,"332,303","472,371",
08-Mar,"349,419","488,831",
08-Feb,"377,088","454,785",
08-Jan,"365,592","474,496",
07-Dec,"355,292","456,353",
07-Nov,"379,593","426,721",
07-Oct,"376,979","392,543",
07-Sep,"359,104","377,364",
07-Aug,"362,475","381,550",
07-Jul,"416,403","380,971",
07-Jun,"408,444","347,617",
07-May,"382,312","334,359",
07-Apr,"342,084","314,744",
07-Mar,"317,737","305,479",
07-Feb,"321,171","300,072",
07-Jan,"311,506","292,521",
06-Dec,"303,288","299,023",
06-Nov,"294,899","290,910",
06-Oct,"267,710","267,462",
06-Sep,"261,769","268,612",
06-Aug,"249,368","269,423",
06-Jul,"256,016","269,376",
06-Jun,"251,495","280,275",
06-May,"255,608","264,307",
06-Apr,"265,164","259,342",
06-Mar,"259,370","258,928",
06-Feb,"249,609","257,573",
06-Jan,"255,795","255,819",
05-Dec,"244,098","263,205",
05-Nov,"242,904","241,695",
05-Oct,"239,868","243,174",
05-Sep,"244,669","238,929",
05-Aug,"231,400","225,410",
05-Jul,"233,585","224,242",
05-Jun,"224,153","234,352",
05-May,"219,404","224,933",
05-Apr,"217,447","223,839",
05-Mar,"226,876","234,533",
05-Feb,"223,155","224,392",
05-Jan,"220,122","230,624",
04-Dec,"217,573","238,192",
04-Nov,"211,012","223,928",
04-Oct,"197,999","218,090",
04-Sep,"193,668","220,860",
04-Aug,"187,828","217,945",
04-Jul,"187,844","220,196",
04-Jun,"193,993","220,781",
04-May,"193,843","219,640",
04-Apr,"198,778","217,992",
04-Mar,"191,451","203,953",
04-Feb,"190,448","200,323",
04-Jan,"189,429","198,628",
03-Dec,"181,459","199,297",
03-Nov,"182,587","184,899",
03-Oct,"175,428","191,554",
03-Sep,"171,194","189,826",
03-Aug,"167,200","188,112",
03-Jul,"174,427","199,973",
03-Jun,"168,281","190,026",
03-May,"153,725","178,946",
03-Apr,"143,237","168,756",
03-Mar,"144,267","176,955",
03-Feb,"140,516","179,925",
03-Jan,"141,391","179,528",
02-Dec,"139,451","184,715",
02-Nov,"139,472","176,062",
02-Oct,"138,647","181,069",
02-Sep,"136,107","180,997",
02-Aug,"139,146","174,995",
02-Jul,"143,905","183,326",
02-Jun,"153,972","178,744",
02-May,"157,802","173,395",
02-Apr,"159,072","175,730",
02-Mar,"160,089","180,578",
02-Feb,"154,931","186,919",
02-Jan,"160,906","189,841",
01-Dec,"160,473","197,424",
01-Nov,"159,440","188,441",
01-Oct,"152,367","187,012",
01-Sep,"157,931","211,281",
01-Aug,"169,316","191,219",
01-Jul,"173,680","185,100",
01-Jun,"179,585","187,602",
01-May,"183,041","183,493",
01-Apr,"176,096","191,145",
01-Mar,"174,797","198,581",
