,realtime_start,realtime_end,date,value
103,2025-08-18,2025-08-18,2008-08-01,2.42
104,2025-08-18,2025-08-18,2008-09-01,2.08
105,2025-08-18,2025-08-18,2008-10-01,1.61
106,2025-08-18,2025-08-18,2008-11-01,1.21
107,2025-08-18,2025-08-18,2008-12-01,0.82
108,2025-08-18,2025-08-18,2009-01-01,0.81
109,2025-08-18,2025-08-18,2009-02-01,0.98
110,2025-08-18,2025-08-18,2009-03-01,0.93
111,2025-08-18,2025-08-18,2009-04-01,0.93
112,2025-08-18,2025-08-18,2009-05-01,0.93
113,2025-08-18,2025-08-18,2009-06-01,1.18
114,2025-08-18,2025-08-18,2009-07-01,1.02
115,2025-08-18,2025-08-18,2009-08-01,1.12
116,2025-08-18,2025-08-18,2009-09-01,0.96
117,2025-08-18,2025-08-18,2009-10-01,0.95
118,2025-08-18,2025-08-18,2009-11-01,0.8
119,2025-08-18,2025-08-18,2009-12-01,0.87
120,2025-08-18,2025-08-18,2010-01-01,0.93
121,2025-08-18,2025-08-18,2010-02-01,0.86
122,2025-08-18,2025-08-18,2010-03-01,0.96
123,2025-08-18,2025-08-18,2010-04-01,1.06
124,2025-08-18,2025-08-18,2010-05-01,0.83
125,2025-08-18,2025-08-18,2010-06-01,0.72
126,2025-08-18,2025-08-18,2010-07-01,0.62
127,2025-08-18,2025-08-18,2010-08-01,0.52
128,2025-08-18,2025-08-18,2010-09-01,0.48
129,2025-08-18,2025-08-18,2010-10-01,0.38
130,2025-08-18,2025-08-18,2010-11-01,0.45
131,2025-08-18,2025-08-18,2010-12-01,0.62
132,2025-08-18,2025-08-18,2011-01-01,0.61
133,2025-08-18,2025-08-18,2011-02-01,0.77
134,2025-08-18,2025-08-18,2011-03-01,0.7
135,2025-08-18,2025-08-18,2011-04-01,0.73
136,2025-08-18,2025-08-18,2011-05-01,0.56
137,2025-08-18,2025-08-18,2011-06-01,0.41
138,2025-08-18,2025-08-18,2011-07-01,0.41
139,2025-08-18,2025-08-18,2011-08-01,0.23
140,2025-08-18,2025-08-18,2011-09-01,0.21
141,2025-08-18,2025-08-18,2011-10-01,0.28
142,2025-08-18,2025-08-18,2011-11-01,0.25
143,2025-08-18,2025-08-18,2011-12-01,0.26
144,2025-08-18,2025-08-18,2012-01-01,0.24
145,2025-08-18,2025-08-18,2012-02-01,0.28
146,2025-08-18,2025-08-18,2012-03-01,0.34
147,2025-08-18,2025-08-18,2012-04-01,0.29
148,2025-08-18,2025-08-18,2012-05-01,0.29
149,2025-08-18,2025-08-18,2012-06-01,0.29
150,2025-08-18,2025-08-18,2012-07-01,0.25
151,2025-08-18,2025-08-18,2012-08-01,0.27
152,2025-08-18,2025-08-18,2012-09-01,0.26
153,2025-08-18,2025-08-18,2012-10-01,0.28
154,2025-08-18,2025-08-18,2012-11-01,0.27
155,2025-08-18,2025-08-18,2012-12-01,0.26
156,2025-08-18,2025-08-18,2013-01-01,0.27
157,2025-08-18,2025-08-18,2013-02-01,0.27
158,2025-08-18,2025-08-18,2013-03-01,0.26
159,2025-08-18,2025-08-18,2013-04-01,0.23
160,2025-08-18,2025-08-18,2013-05-01,0.25
161,2025-08-18,2025-08-18,2013-06-01,0.33
162,2025-08-18,2025-08-18,2013-07-01,0.34
163,2025-08-18,2025-08-18,2013-08-01,0.36
164,2025-08-18,2025-08-18,2013-09-01,0.4
165,2025-08-18,2025-08-18,2013-10-01,0.34
166,2025-08-18,2025-08-18,2013-11-01,0.3
167,2025-08-18,2025-08-18,2013-12-01,0.34
168,2025-08-18,2025-08-18,2014-01-01,0.39
169,2025-08-18,2025-08-18,2014-02-01,0.33
170,2025-08-18,2025-08-18,2014-03-01,0.4
171,2025-08-18,2025-08-18,2014-04-01,0.42
172,2025-08-18,2025-08-18,2014-05-01,0.39
173,2025-08-18,2025-08-18,2014-06-01,0.45
174,2025-08-18,2025-08-18,2014-07-01,0.51
175,2025-08-18,2025-08-18,2014-08-01,0.47
176,2025-08-18,2025-08-18,2014-09-01,0.57
177,2025-08-18,2025-08-18,2014-10-01,0.45
178,2025-08-18,2025-08-18,2014-11-01,0.53
179,2025-08-18,2025-08-18,2014-12-01,0.64
180,2025-08-18,2025-08-18,2015-01-01,0.55
181,2025-08-18,2025-08-18,2015-02-01,0.62
182,2025-08-18,2025-08-18,2015-03-01,0.64
183,2025-08-18,2025-08-18,2015-04-01,0.54
184,2025-08-18,2025-08-18,2015-05-01,0.61
185,2025-08-18,2025-08-18,2015-06-01,0.69
186,2025-08-18,2025-08-18,2015-07-01,0.67
187,2025-08-18,2025-08-18,2015-08-01,0.7
188,2025-08-18,2025-08-18,2015-09-01,0.71
189,2025-08-18,2025-08-18,2015-10-01,0.64
190,2025-08-18,2025-08-18,2015-11-01,0.88
191,2025-08-18,2025-08-18,2015-12-01,0.98
192,2025-08-18,2025-08-18,2016-01-01,0.9
193,2025-08-18,2025-08-18,2016-02-01,0.73
194,2025-08-18,2025-08-18,2016-03-01,0.88
195,2025-08-18,2025-08-18,2016-04-01,0.77
196,2025-08-18,2025-08-18,2016-05-01,0.82
197,2025-08-18,2025-08-18,2016-06-01,0.73
198,2025-08-18,2025-08-18,2016-07-01,0.67
199,2025-08-18,2025-08-18,2016-08-01,0.74
200,2025-08-18,2025-08-18,2016-09-01,0.77
201,2025-08-18,2025-08-18,2016-10-01,0.84
202,2025-08-18,2025-08-18,2016-11-01,0.98
203,2025-08-18,2025-08-18,2016-12-01,1.2
204,2025-08-18,2025-08-18,2017-01-01,1.21
205,2025-08-18,2025-08-18,2017-02-01,1.2
206,2025-08-18,2025-08-18,2017-03-01,1.31
207,2025-08-18,2025-08-18,2017-04-01,1.24
208,2025-08-18,2025-08-18,2017-05-01,1.3
209,2025-08-18,2025-08-18,2017-06-01,1.34
210,2025-08-18,2025-08-18,2017-07-01,1.37
211,2025-08-18,2025-08-18,2017-08-01,1.34
212,2025-08-18,2025-08-18,2017-09-01,1.38
213,2025-08-18,2025-08-18,2017-10-01,1.55
214,2025-08-18,2025-08-18,2017-11-01,1.7
215,2025-08-18,2025-08-18,2017-12-01,1.84
216,2025-08-18,2025-08-18,2018-01-01,2.03
217,2025-08-18,2025-08-18,2018-02-01,2.18
218,2025-08-18,2025-08-18,2018-03-01,2.28
219,2025-08-18,2025-08-18,2018-04-01,2.38
220,2025-08-18,2025-08-18,2018-05-01,2.51
221,2025-08-18,2025-08-18,2018-06-01,2.53
222,2025-08-18,2025-08-18,2018-07-01,2.61
223,2025-08-18,2025-08-18,2018-08-01,2.64
224,2025-08-18,2025-08-18,2018-09-01,2.77
225,2025-08-18,2025-08-18,2018-10-01,2.86
226,2025-08-18,2025-08-18,2018-11-01,2.86
227,2025-08-18,2025-08-18,2018-12-01,2.68
228,2025-08-18,2025-08-18,2019-01-01,2.54
229,2025-08-18,2025-08-18,2019-02-01,2.5
230,2025-08-18,2025-08-18,2019-03-01,2.41
231,2025-08-18,2025-08-18,2019-04-01,2.34
232,2025-08-18,2025-08-18,2019-05-01,2.21
233,2025-08-18,2025-08-18,2019-06-01,1.81
234,2025-08-18,2025-08-18,2019-07-01,1.84
235,2025-08-18,2025-08-18,2019-08-01,1.57
236,2025-08-18,2025-08-18,2019-09-01,1.65
237,2025-08-18,2025-08-18,2019-10-01,1.55
238,2025-08-18,2025-08-18,2019-11-01,1.61
239,2025-08-18,2025-08-18,2019-12-01,1.61
240,2025-08-18,2025-08-18,2020-01-01,1.52
241,2025-08-18,2025-08-18,2020-02-01,1.33
242,2025-08-18,2025-08-18,2020-03-01,0.45
243,2025-08-18,2025-08-18,2020-04-01,0.22
244,2025-08-18,2025-08-18,2020-05-01,0.17
245,2025-08-18,2025-08-18,2020-06-01,0.19
246,2025-08-18,2025-08-18,2020-07-01,0.15
247,2025-08-18,2025-08-18,2020-08-01,0.14
248,2025-08-18,2025-08-18,2020-09-01,0.13
249,2025-08-18,2025-08-18,2020-10-01,0.15
250,2025-08-18,2025-08-18,2020-11-01,0.17
251,2025-08-18,2025-08-18,2020-12-01,0.14
252,2025-08-18,2025-08-18,2021-01-01,0.13
253,2025-08-18,2025-08-18,2021-02-01,0.12
254,2025-08-18,2025-08-18,2021-03-01,0.15
255,2025-08-18,2025-08-18,2021-04-01,0.16
256,2025-08-18,2025-08-18,2021-05-01,0.16
257,2025-08-18,2025-08-18,2021-06-01,0.2
258,2025-08-18,2025-08-18,2021-07-01,0.22
259,2025-08-18,2025-08-18,2021-08-01,0.22
260,2025-08-18,2025-08-18,2021-09-01,0.24
261,2025-08-18,2025-08-18,2021-10-01,0.39
262,2025-08-18,2025-08-18,2021-11-01,0.51
263,2025-08-18,2025-08-18,2021-12-01,0.68
264,2025-08-18,2025-08-18,2022-01-01,0.98
265,2025-08-18,2025-08-18,2022-02-01,1.44
266,2025-08-18,2025-08-18,2022-03-01,1.91
267,2025-08-18,2025-08-18,2022-04-01,2.54
268,2025-08-18,2025-08-18,2022-05-01,2.62
269,2025-08-18,2025-08-18,2022-06-01,3.0
270,2025-08-18,2025-08-18,2022-07-01,3.04
271,2025-08-18,2025-08-18,2022-08-01,3.25
272,2025-08-18,2025-08-18,2022-09-01,3.86
273,2025-08-18,2025-08-18,2022-10-01,4.38
274,2025-08-18,2025-08-18,2022-11-01,4.5
275,2025-08-18,2025-08-18,2022-12-01,4.29
276,2025-08-18,2025-08-18,2023-01-01,4.21
277,2025-08-18,2025-08-18,2023-02-01,4.53
278,2025-08-18,2025-08-18,2023-03-01,4.3
279,2025-08-18,2025-08-18,2023-04-01,4.02
280,2025-08-18,2025-08-18,2023-05-01,4.13
281,2025-08-18,2025-08-18,2023-06-01,4.64
282,2025-08-18,2025-08-18,2023-07-01,4.83
283,2025-08-18,2025-08-18,2023-08-01,4.9
284,2025-08-18,2025-08-18,2023-09-01,5.02
285,2025-08-18,2025-08-18,2023-10-01,5.07
286,2025-08-18,2025-08-18,2023-11-01,4.88
287,2025-08-18,2025-08-18,2023-12-01,4.46
288,2025-08-18,2025-08-18,2024-01-01,4.32
289,2025-08-18,2025-08-18,2024-02-01,4.54
290,2025-08-18,2025-08-18,2024-03-01,4.59
291,2025-08-18,2025-08-18,2024-04-01,4.87
292,2025-08-18,2025-08-18,2024-05-01,4.86
293,2025-08-18,2025-08-18,2024-06-01,4.74
294,2025-08-18,2025-08-18,2024-07-01,4.5
295,2025-08-18,2025-08-18,2024-08-01,3.97
296,2025-08-18,2025-08-18,2024-09-01,3.62
297,2025-08-18,2025-08-18,2024-10-01,3.97
298,2025-08-18,2025-08-18,2024-11-01,4.26
299,2025-08-18,2025-08-18,2024-12-01,4.23
300,2025-08-18,2025-08-18,2025-01-01,4.27
301,2025-08-18,2025-08-18,2025-02-01,4.21
302,2025-08-18,2025-08-18,2025-03-01,3.97
303,2025-08-18,2025-08-18,2025-04-01,3.78
304,2025-08-18,2025-08-18,2025-05-01,3.92
305,2025-08-18,2025-08-18,2025-06-01,3.89
306,2025-08-18,2025-08-18,2025-07-01,3.88
